T (K),P (kPa),Vapor fract
336,1667,1.0
342,1667,1.0
348,1667,1.0
354,1667,1.0
360,1667,1.0
366,1667,1.0
372,1667,1.0
378,1667,1.0
384,1667,1.0
390,1667,1.0
396,1667,1.0
402,1667,1.0
408,1667,1.0
414,1667,1.0
420,1667,1.0
426,1667,1.0
432,1667,1.0
438,1667,1.0
444,1667,1.0
450,1667,1.0
456,1667,1.0
462,1667,1.0
468,1667,1.0
474,1667,1.0
480,1667,1.0
486,1667,1.0
492,1667,1.0
498,1667,1.0
504,1667,1.0
510,1667,1.0
516,1667,1.0
522,1667,1.0
528,1667,1.0
534,1667,1.0
540,1667,1.0
546,1667,1.0
552,1667,1.0
558,1667,1.0
564,1667,1.0
570,1667,1.0
576,1667,1.0
582,1667,1.0
588,1667,1.0
594,1667,1.0
282,1786,1.0
288,1786,1.0
294,1786,1.0
300,1786,1.0
306,1786,1.0
312,1786,1.0
318,1786,1.0
324,1786,1.0
330,1786,1.0
336,1786,1.0
342,1786,1.0
348,1786,1.0
354,1786,1.0
360,1786,1.0
366,1786,1.0
372,1786,1.0
378,1786,1.0
384,1786,1.0
390,1786,1.0
396,1786,1.0
402,1786,1.0
408,1786,1.0
414,1786,1.0
420,1786,1.0
426,1786,1.0
432,1786,1.0
438,1786,1.0
444,1786,1.0
450,1786,1.0
456,1786,1.0
462,1786,1.0
468,1786,1.0
474,1786,1.0
480,1786,1.0
486,1786,1.0
492,1786,1.0
498,1786,1.0
504,1786,1.0
510,1786,1.0
516,1786,1.0
522,1786,1.0
528,1786,1.0
534,1786,1.0
540,1786,1.0
546,1786,1.0
552,1786,1.0
558,1786,1.0
564,1786,1.0
570,1786,1.0
576,1786,1.0
582,1786,1.0
588,1786,1.0
594,1786,1.0
288,1905,1.0
294,1905,1.0
300,1905,1.0
306,1905,1.0
312,1905,1.0
318,1905,1.0
324,1905,1.0
330,1905,1.0
336,1905,1.0
342,1905,1.0
348,1905,1.0
354,1905,1.0
360,1905,1.0
366,1905,1.0
372,1905,1.0
378,1905,1.0
384,1905,1.0
390,1905,1.0
396,1905,1.0
402,1905,1.0
408,1905,1.0
414,1905,1.0
420,1905,1.0
426,1905,1.0
432,1905,1.0
438,1905,1.0
444,1905,1.0
450,1905,1.0
456,1905,1.0
462,1905,1.0
468,1905,1.0
474,1905,1.0
480,1905,1.0
486,1905,1.0
492,1905,1.0
498,1905,1.0
504,1905,1.0
510,1905,1.0
516,1905,1.0
522,1905,1.0
528,1905,1.0
534,1905,1.0
540,1905,1.0
546,1905,1.0
552,1905,1.0
558,1905,1.0
564,1905,1.0
570,1905,1.0
576,1905,1.0
582,1905,1.0
588,1905,1.0
594,1905,1.0
288,2024,1.0
294,2024,1.0
300,2024,1.0
306,2024,1.0
312,2024,1.0
318,2024,1.0
324,2024,1.0
330,2024,1.0
336,2024,1.0
342,2024,1.0
348,2024,1.0
354,2024,1.0
360,2024,1.0
366,2024,1.0
372,2024,1.0
378,2024,1.0
384,2024,1.0
390,2024,1.0
396,2024,1.0
402,2024,1.0
408,2024,1.0
414,2024,1.0
420,2024,1.0
426,2024,1.0
432,2024,1.0
438,2024,1.0
444,2024,1.0
450,2024,1.0
456,2024,1.0
462,2024,1.0
468,2024,1.0
474,2024,1.0
480,2024,1.0
486,2024,1.0
492,2024,1.0
498,2024,1.0
504,2024,1.0
510,2024,1.0
516,2024,1.0
522,2024,1.0
528,2024,1.0
534,2024,1.0
540,2024,1.0
546,2024,1.0
552,2024,1.0
558,2024,1.0
564,2024,1.0
570,2024,1.0
576,2024,1.0
582,2024,1.0
588,2024,1.0
594,2024,1.0
288,2143,1.0
294,2143,1.0
300,2143,1.0
306,2143,1.0
312,2143,1.0
318,2143,1.0
324,2143,1.0
330,2143,1.0
336,2143,1.0
342,2143,1.0
348,2143,1.0
354,2143,1.0
360,2143,1.0
366,2143,1.0
372,2143,1.0
378,2143,1.0
384,2143,1.0
390,2143,1.0
396,2143,1.0
402,2143,1.0
408,2143,1.0
414,2143,1.0
420,2143,1.0
426,2143,1.0
432,2143,1.0
438,2143,1.0
444,2143,1.0
450,2143,1.0
456,2143,1.0
462,2143,1.0
468,2143,1.0
474,2143,1.0
480,2143,1.0
486,2143,1.0
492,2143,1.0
498,2143,1.0
504,2143,1.0
510,2143,1.0
516,2143,1.0
522,2143,1.0
528,2143,1.0
534,2143,1.0
540,2143,1.0
546,2143,1.0
552,2143,1.0
558,2143,1.0
564,2143,1.0
570,2143,1.0
576,2143,1.0
582,2143,1.0
588,2143,1.0
594,2143,1.0
288,2262,1.0
294,2262,1.0
300,2262,1.0
306,2262,1.0
312,2262,1.0
318,2262,1.0
324,2262,1.0
330,2262,1.0
336,2262,1.0
342,2262,1.0
348,2262,1.0
354,2262,1.0
360,2262,1.0
366,2262,1.0
372,2262,1.0
378,2262,1.0
384,2262,1.0
390,2262,1.0
396,2262,1.0
402,2262,1.0
408,2262,1.0
414,2262,1.0
420,2262,1.0
426,2262,1.0
432,2262,1.0
438,2262,1.0
444,2262,1.0
450,2262,1.0
456,2262,1.0
462,2262,1.0
468,2262,1.0
474,2262,1.0
480,2262,1.0
486,2262,1.0
492,2262,1.0
498,2262,1.0
504,2262,1.0
510,2262,1.0
516,2262,1.0
522,2262,1.0
528,2262,1.0
534,2262,1.0
540,2262,1.0
546,2262,1.0
552,2262,1.0
558,2262,1.0
564,2262,1.0
570,2262,1.0
576,2262,1.0
582,2262,1.0
588,2262,1.0
594,2262,1.0
