name,alt_name,t_c,p_c,v_c,acc,mm,hf,c1,c2,c3,c4,c5,eq,cg1,cg2,cg3,cg4,cg5,eqg
"1,2-Butadiene",,452,43.6,0.22,0.1659,0.054,162300,135150,-311.14,0.97007,-0.0001523,0,1,57500,164760,1527,99000,677.3,1
"1,3-Butadiene","C4H6,butadiene",425,43.2,0.221,0.195,0.054,109240,128860,-323.1,1.015,0.000032,0,1,50950,170500,1532.4,133700,685.6,1
Butane,"C4H10,n-butane",425.12,37.96,0.255,0.2002,0.058,-125790,191030,-1675,12.5,-0.03874,0.000046121,1,71340,243000,1630,150330,730.42,1
"1,2-Butanediol",,680,52.1,0.303,0.6305,,,,,,,,,,,,,,
"1,3-Butanediol",,676,40.2,0.305,0.7043,,,,,,,,,,,,,,
1-Butanol,,563.1,44.14,0.273,0.5883,,,,,,,,,,,,,,
2-Butanol,,535.9,41.88,0.27,0.5692,,,,,,,,,,,,,,
1-Butene,"C4H8,1-butene",419.5,40.2,0.241,0.1845,,,,,,,,,,,,,,
cis-2-Butene,"C4H8,cis2-buten",435.5,42.1,0.234,0.2019,,,,,,,,,,,,,,
trans-2-Butene,"C4H8,tr2-butene",428.6,41,0.238,0.2176,,,,,,,,,,,,,,
Butyl acetate,,575.4,30.9,0.389,0.4394,,,,,,,,,,,,,,
Butylbenzene,,660.5,28.9,0.497,0.3941,,,,,,,,,,,,,,
Butyl mercaptan,,570.1,39.7,0.307,0.2714,,,,,,,,,,,,,,
sec-Butyl mercaptan,,554,40.6,0.307,0.2506,,,,,,,,,,,,,,
1-Butyne,"C4H6,1butyne",440,46,0.208,0.247,,,,,,,,,,,,,,
Butyraldehyde,,537.2,43.2,0.258,0.2774,,,,,,,,,,,,,,
Butyric acid,,615.7,40.6,0.293,0.6805,,,,,,,,,,,,,,
Butyronitrile,,582.25,37.9,0.278,0.3714,,,,,,,,,,,,,,
Carbon dioxide,CO2,304.21,73.83,0.094,0.2236,0.044,-393510,-8304300,104370,-433.33,0.60052,0,1,29370,34540,1428,26400,588,1
Carbon disulfide,CS2,552,79,0.16,0.1107,,,,,,,,,,,,,,
Carbon monoxide,CO,132.92,34.99,0.0944,0.0482,0.028,-110530,65.429,28723,-847.39,1959.6,0,2,29108,8773,3085.1,8455.3,1538.2,1
Carbon tetrachloride,CCl4,556.35,45.6,0.276,0.1926,0.154,-95810,-752700,8966.1,-30.394,0.034455,0,1,37582,70540,512.1,48500,236.1,1
Carbon tetrafluoride,CF4,227.51,37.45,0.143,0.179,,,,,,,,,,,,,,
Chlorine,Cl2,417.15,77.1,0.124,0.0688,,,,,,,,,,,,,,
Chlorobenzene,,632.35,45.19,0.308,0.2499,,,,,,,,,,,,,,
Chloroethane,,460.35,52.7,0.2,0.1902,,,,,,,,,,,,,,
Chloroform,CHCl3,536.4,54.72,0.239,0.2219,,,,,,,,,,,,,,
Chloromethane,CH3Cl,416.25,66.8,0.143,0.1531,,,,,,,,,,,,,,
1-Chloropropane,,503.15,45.8,0.247,0.2277,,,,,,,,,,,,,,
2-Chloropropane,,489,45.4,0.247,0.1986,,,,,,,,,,,,,,
m-Cresol,"C7H8O,cresol-mx",705.85,45.6,0.312,0.448,,,,,,,,,,,,,,
o-Cresol,,697.55,50.1,0.282,0.4339,,,,,,,,,,,,,,
p-Cresol,,704.65,51.5,0.277,0.5072,,,,,,,,,,,,,,
Cumene,,631,32.09,0.434,0.3274,,,,,,,,,,,,,,
Cyanogen,,400.15,59.8,0.195,0.279,,,,,,,,,,,,,,
Cyclobutane,"C4H8,cyclo-",459.93,49.8,0.21,0.1847,,,,,,,,,,,,,,
Cyclohexane,"C6H12,cyclo-",553.8,40.8,0.308,0.2081,0.084,-123300,-220600,3118.3,-9.4216,0.010687,0,1,43200,373500,1192,163500,530.1,1
Cyclohexanol,,650.1,42.6,0.322,0.369,,,,,,,,,,,,,,
Cyclohexanone,,653,40,0.311,0.299,,,,,,,,,,,,,,
Cyclohexene,"C6H10,cyclo-",560.4,43.5,0.291,0.2123,,,,,,,,,,,,,,
Cyclopentane,"C5H10,cyclo-",511.7,45.1,0.26,0.1949,,,,,,,,,,,,,,
Cyclopentene,"C5H8,cyclo-",507,48,0.245,0.1961,,,,,,,,,,,,,,
Cyclopropane,,398,55.4,0.162,0.1278,,,,,,,,,,,,,,
Cyclohexyl mercaptan,,664,39.7,0.355,0.2641,,,,,,,,,,,,,,
Decanal,,674.2,26,0.58,0.582,,,,,,,,,,,,,,
Decane,C10H22,617.7,21.1,0.617,0.4923,0.142,-249460,278620,-197.91,1.0737,0,0,1,167200,535300,1614.1,378200,742,1
Decanoic acid,,722.1,22.8,0.639,0.8126,,,,,,,,,,,,,,
1-Decanol,,688,23.08,0.645,0.607,,,,,,,,,,,,,,
1-Decene,,616.6,22.23,0.584,0.4805,,,,,,,,,,,,,,
Decyl mercaptan,,696,21.3,0.624,0.5874,,,,,,,,,,,,,,
1-Decyne,,619.85,23.7,0.552,0.5178,,,,,,,,,,,,,,
Deuterium,D2,38.35,16.617,0.060263,-0.1449,0.002,0,66.653,6765.9,-123.63,478.27,0,2,30290,9750,2515,-2750,368,1
"1,1-Dibromoethane",,628,60.3,0.276,0.125,,,,,,,,,,,,,,
"1,2-Dibromoethane",,650.15,54.77,0.2616,0.2067,,,,,,,,,,,,,,
Dibromomethane,CH2Br2,611,71.7,0.223,0.2095,,,,,,,,,,,,,,
Dibutyl ether,,584.1,24.6,0.487,0.4476,,,,,,,,,,,,,,
m-Dichlorobenzene,,683.95,40.7,0.351,0.279,,,,,,,,,,,,,,
o-Dichlorobenzene,,705,40.7,0.351,0.2192,,,,,,,,,,,,,,
p-Dichlorobenzene,,684.75,40.7,0.351,0.2846,,,,,,,,,,,,,,
"1,1-Dichloroethane",,523,50.7,0.24,0.2339,,,,,,,,,,,,,,
